Username,Uploads,Views
b'T-Series',"15,566","158,656,672,501"
b'Cocomelon - Nursery Rhymes',660,"104,911,313,368"
b'SET India',"60,463","91,938,810,205"
b'WWE',"55,647","60,086,507,966"
b'Like Nastya',591,"59,385,247,620"
b'\xe2\x9c\xbf Kids Diana Show',895,"59,118,742,468"
b'Sony SAB',"37,849","57,114,744,601"
b'Movieclips',"37,401","52,510,422,037"
b'Vlad and Niki',370,"50,751,867,510"
"b""Ryan's World""","2,010","47,725,447,587"
b'netd m\xc3\xbczik',"16,245","44,172,465,571"
b'ABS-CBN Entertainment',"160,115","43,041,598,768"
b'El Reino Infantil',"1,027","41,304,455,059"
b'Zee Music Company',"5,516","38,821,447,577"
b'Colors TV',"58,495","35,969,422,783"
b'Canal KondZilla',"1,918","34,882,444,487"
b'Little Baby Bum - Nursery Rhymes &\xe2\x80\xa6',"1,481","33,281,532,987"
b'ChuChu TV Nursery Rhymes & Kids So\xe2\x80\xa6',417,"32,448,308,041"
b'Wave Music',"18,335","31,729,394,164"
b'WorkpointOfficial',"56,028","30,817,391,772"
b'Toys and Colors',618,"30,336,851,860"
b'\xd0\x9c\xd0\xb0\xd1\x88\xd0\xb0 \xd0\xb8 \xd0\x9c\xd0\xb5\xd0\xb4\xd0\xb2\xd0\xb5\xd0\xb4\xd1\x8c',979,"28,950,924,322"
b'Super Simple Songs - Kids Songs',554,"28,897,813,305"
b'PewDiePie',"4,363","27,510,103,852"
b'Get Movies',"2,998","26,046,398,954"
b'Justin Bieber',227,"25,371,978,224"
b'Shemaroo Filmi Gaane',"7,212","25,297,614,298"
"b""Pinkfong Baby Shark - Kids' Songs \xe2\x80\xa6""","1,871","24,852,448,454"
b'one31',"109,832","24,097,482,724"
b'Ed Sheeran',171,"23,806,885,820"
b'LooLoo Kids - Nursery Rhymes and C\xe2\x80\xa6',504,"23,676,303,622"
b'YRF',"2,918","23,344,778,475"
b'JustinBieberVEVO',185,"23,247,650,691"
b'GMANetwork',"98,256","22,627,674,869"
b'Taylor Swift',188,"22,467,209,404"
b'\xd9\x82\xd9\x86\xd8\xa7\xd8\xa9 \xd8\xb7\xd9\x8a\xd9\x88\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xac\xd9\x86\xd8\xa9 | toy\xe2\x80\xa6',"2,957","22,318,056,442"
b'Katy Perry',107,"22,123,470,112"
b'TheEllenShow',"13,217","21,821,897,112"
b'SMTOWN',"3,713","21,450,367,690"
b'Ch3Thailand',"81,559","21,277,363,892"
b'KatyPerryVEVO',164,"21,239,836,782"
b'TaylorSwiftVEVO',195,"21,140,015,547"
b'Tips Official',"3,067","21,123,325,774"
b'Shakira',253,"20,986,681,883"
b'Speed Records',"9,358","20,659,640,503"
b'5-Minute Crafts',"4,757","20,512,104,071"
b'GMM GRAMMY OFFICIAL',"9,459","20,464,799,450"
b'1theK (\xec\x9b\x90\xeb\x8d\x94\xec\xbc\x80\xec\x9d\xb4)',"14,722","20,259,835,311"
b'GR6 EXPLODE',"3,727","20,171,908,487"
b'EminemMusic',136,"20,138,383,125"
