brand; product_name; shipping
ASUS;ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO);Free Shipping
GIGABYTE;GIGABYTE GeForce GTX 1660 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660OC-6GD Video Card;Free Shipping
GIGABYTE;GIGABYTE Geforce RTX 2060 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card;Free Shipping
ASUS;ASUS Cerberus GeForce GTX 1050 Ti 4GB GDDR5 Gaming Graphics Card| CERBERUS-GTX1050TI-A4G;Special Shipping
ASUS;ASUS GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card (PH-GT1030-O2G);Free Shipping
ASUS;ASUS ROG STRIX Radeon RX 6700 XT OC Edition Gaming Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6| HDMI 2.1| DisplayPort 1.4a| Axial-tech Fan Design| 2.9-slot| Super Alloy Power II| GPU Tweak II);Free Shipping
GIGABYTE;GIGABYTE GeForce RTX 2060 OC GG Graphics Card| 2X Windforce Fans| 6GB 192-bit GDDR6| Gv-N2060OC-6GD REV2.0 Video Card;Free Shipping
ASUS;ASUS GeForce RTX 2060 DUAL EVO 6 GB GDDR6 Graphics Card (DUAL-RTX2060-6G-EVO);Free Shipping
GIGABYTE;GIGABYTE GeForce GTX 1650 OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR5| GV-N1650OC-4GD Video Card;Free Shipping
;;
ASUS;ASUS TUF Gaming Radeon RX 6700 XT OC Edition Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6| HDMI 2.1| DisplayPort 1.4a| Dual Ball Fan Bearings| All-aluminum Shroud| Reinforced Frame| GPU Tweak II);Free Shipping
;Gigabyte Ultra Durable 2 GV-N730D5-2GI GeForce GT 730 Graphic Card - 902 MHz Core - 2 GB GDDR5 SDRAM - PCI Express 2.0 x8;Free Shipping
;GeForce GTX 1050 Ti |4GB GDDR5 DisplayPort 128-bit Gaming Graphic Card phics Card|Low Noise Video Memory Card|Compatible with Interface for HDMI/VGA/DVI/PCI-E|640 Core 900MHz Frequency;Free Shipping
;GTX1050 2GB DDR5 128Bit Gaming Graphics Card|Low Noise Video Memory Card|Compatible with Interface for HDMI/VGA/DVI/PCI-E|640 Core 900MHz Frequency;Free Shipping
;2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card GIGABYTE Geforce RTX 2060 OC 6G Graphics Card|;Free Shipping
GIGABYTE;GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TOC-6GD Video Card;Free Shipping
Sapphire Tech;Sapphire NITRO+ AMD RADEON RX 6900 XT SE GAMING OC Graphics Card With 16GB GDDR6 HDMI / TRIPLE DP;Free Shipping
ASUS;ASUS TUF Gaming GeForce GTX 1650 SUPER Overclocked 4GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1650S-O4G-GAMING);$45.00 Shipping
MSI;MSI GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti 4GT OC;Free Shipping
